,x,eq_complex_1,eq_complex_3,eq_complex_5,eq_complex_6,eq_complex_7,eq_complex_8,eq_complex_9,eq_complex_10,eq_complex_11,eq_complex_12,eq_complex_13,eq_complex_14,eq_complex_15,eq_complex_16,eq_complex_17,eq_complex_18,eq_complex_19,eq_complex_20,eq_complex_21,eq_complex_22,eq_complex_24,eq_complex_25,eq_complex_26,eq_complex_27,eq_complex_30,eq_complex_31,eq_complex_33
20,0.14497487,-0.9027245520575412,-0.7810560120844078,-0.7810561460330943,-0.7795526679979605,-0.7528080713144758,-0.7400990766666529,-0.7485103498300723,-0.7489320614618413,-0.7503488481045675,-0.7494541234235528,-0.7473425497018352,-0.7468868021396413,-0.7457251793651479,-0.7456839951929551,-0.7456434744898511,-0.7492759865798901,-0.7458795171331963,-0.744668731025097,-0.74702171812906,-0.7485461070838932,-0.7471338289745764,-0.7489089015774137,-0.7485117898792019,-0.7476204970112266,-0.7476263647111352,-0.7476321425959146,-0.7486382644633888
21,0.14949748,-0.9027245520575412,-0.7825864338580671,-0.7825865671590799,-0.7819437099009311,-0.7550446647986737,-0.7420302622842355,-0.7517314662274163,-0.7520868192716074,-0.7534681876730562,-0.7527472998176086,-0.7506579621511642,-0.7503455948151032,-0.7496004784997217,-0.7495464979275206,-0.7494935611943636,-0.7529519850816044,-0.7494988230341416,-0.74861974612813,-0.7509243482569308,-0.7523316982153404,-0.7511794292673654,-0.7527525404571249,-0.7523566271287124,-0.7514934466099186,-0.7514991743299575,-0.7515048142757791,-0.752486062802231
22,0.1540201,-0.9027245520575412,-0.7841168590156614,-0.784116991668999,-0.7843069790518002,-0.7572723243017474,-0.7439928127641963,-0.7549311883526041,-0.7552210231108585,-0.7565674215260667,-0.7560197602822545,-0.7539555808721707,-0.7537935963124486,-0.753447580669147,-0.753378538117097,-0.753311072361947,-0.7565951882803013,-0.7531016702887402,-0.7525413283990573,-0.7547927816680547,-0.7560790160479421,-0.755176013249717,-0.7565580769718704,-0.7561639242566383,-0.7553305318055837,-0.7553361098569008,-0.7553416023247509,-0.7562963386688585
23,0.15854271,-0.9027245520575412,-0.7856472807893208,-0.7856474127949846,-0.7866425664396364,-0.7594910399725063,-0.7459861187092796,-0.7581095020557752,-0.75833465911947,-0.7596465359581193,-0.7592713502518387,-0.7572351059689905,-0.757230084376153,-0.7572654855353095,-0.7571789929210222,-0.7570948013974086,-0.7602052055194713,-0.7566871174917238,-0.7564315330061948,-0.7586252547491923,-0.7597875159205277,-0.7591211537723708,-0.7603239574989663,-0.7599322754404381,-0.7591302285410706,-0.7591356476014436,-0.7591409834126499,-0.7600676057383338
24,0.16306531,-0.9027245520575412,-0.7871776991790453,-0.7871778305370368,-0.7889505821589539,-0.7617008118702455,-0.7480095697848587,-0.7612664074788917,-0.761427727433829,-0.7627055311026272,-0.7625019322705814,-0.7604962550388923,-0.7606543392771774,-0.7610532368809284,-0.7609468020434694,-0.7608436271429925,-0.7637816867007359,-0.7602542203977911,-0.7602884820235227,-0.7624200952447244,-0.7634567506375438,-0.7630127342894669,-0.7640487466952759,-0.7636603911917303,-0.7628911185023671,-0.7628963696513218,-0.7629015400221006,-0.763798488798624
25,0.16758794,-0.9027245520575412,-0.7887081277205744,-0.7887082584308893,-0.7912311647899934,-0.7639016594799312,-0.7500625647222509,-0.7644019324011468,-0.7645002552740984,-0.7657444338813677,-0.7657113996868368,-0.7637387772040829,-0.7640656594656838,-0.7648099395360575,-0.7646809853362226,-0.7645565318187033,-0.7673243371312137,-0.7638020493555673,-0.7641103889904205,-0.7661757449991002,-0.7670863790855219,-0.7668489721473918,-0.7677311497211837,-0.7673471183962551,-0.7666119097931965,-0.7666169845443237,-0.7666219811175782,-0.767487744247243
26,0.17211054,-0.9027245520575412,-0.7902385461102989,-0.7902386761729415,-0.7934844108278366,-0.7660935536037612,-0.75214444788576,-0.7675160352247321,-0.7675522018782278,-0.7687632039783818,-0.7688995773589349,-0.7669623529132096,-0.7674632568970096,-0.7685346441313177,-0.768380528941027,-0.7682324880457547,-0.7708328078780433,-0.7673295818324004,-0.7678954487780217,-0.7698906502453742,-0.7706760474908357,-0.7706283029456722,-0.7713699043749968,-0.7709913301231057,-0.7702913262899688,-0.7702962166267455,-0.7703010315073278,-0.7711341504060716
27,0.17663316,-0.9027245520575412,-0.7917689712678931,-0.7917691006828607,-0.7957104803882576,-0.7682765185040602,-0.7542546049469239,-0.770608750448865,-0.7705836010554737,-0.771761874834653,-0.7720663705729839,-0.7701667445309928,-0.7708464162966957,-0.7722265222765798,-0.7720445599433423,-0.7718706324535232,-0.7743068599754334,-0.7708358694746777,-0.7716420225367638,-0.7735634416151448,-0.7742255513680422,-0.7743495569418409,-0.7749639569170719,-0.7745920995349882,-0.773928283902346,-0.7739329823035952,-0.773937608083372,-0.7747366822704276
28,0.18115577,-0.9027245520575412,-0.7932993930415525,-0.7932995218088463,-0.7979095020502199,-0.7704505396708692,-0.7563923761031696,-0.773680057487585,-0.7735944326293923,-0.7747404264923218,-0.7752116307627447,-0.7733516607358002,-0.7742143531980554,-0.7758847104287088,-0.7756721916362695,-0.7754701115943015,-0.7777462163233491,-0.7743198921504678,-0.7753484853044339,-0.7771927826086351,-0.7777346778739027,-0.7780117938288438,-0.7785123125645427,-0.7781485481526893,-0.7775217383014421,-0.7775262377721506,-0.7775306675603595,-0.7782943605411093
29,0.1856784,-0.9027245520575412,-0.7948298215830817,-0.7948299497026988,-0.8000816420250444,-0.7726156314955576,-0.7585571212687724,-0.7767299766429279,-0.7765847165036526,-0.7776988786424209,-0.7783352537831273,-0.7765168560529121,-0.7775663198517921,-0.7795084253270551,-0.7792626383518035,-0.7790301954532988,-0.7811506694175145,-0.7777806693783208,-0.7790133490362792,-0.780777488221529,-0.7812033101937154,-0.7816144092809529,-0.782014150236807,-0.7816599589153395,-0.781070800161998,-0.7810750942559413,-0.7810793217014876,-0.7818063657425586
30,0.190201,-0.9027245520575412,-0.7963602399728061,-0.796360367444751,-0.8022270363317237,-0.7747717700715694,-0.7607481538165186,-0.7797584742674504,-0.7795544196873226,-0.7806371986444472,-0.7814370827991763,-0.7796620326207095,-0.7809015022515461,-0.7830968518997816,-0.7828151044186313,-0.782550166524959,-0.784519975046291,-0.781217155542154,-0.7826351544216037,-0.7843164168903403,-0.7846313137391563,-0.7851570096757392,-0.7854687151829878,-0.7851256668233223,-0.7845746258792744,-0.7845787087254441,-0.7845827280429554,-0.78527192996713
31,0.1947236,-0.9027245520575412,-0.7978906583625306,-0.7978907851868032,-0.804345867592836,-0.7769189697902741,-0.762964817365177,-0.7827655706631883,-0.7825035620840713,-0.7835554061894333,-0.7845170188024434,-0.7827869522995263,-0.7842191398536572,-0.7866492721486211,-0.7863289117940458,-0.7860294453813554,-0.7878539724648403,-0.7846283652070116,-0.7862126059371619,-0.7878086003364679,-0.7880186535796855,-0.7886395241157989,-0.78887544370781,-0.7885451824813456,-0.7880325438012052,-0.7880364101205093,-0.7880402161068203,-0.7886904616867398
