p,rho,theta,sigma1,sigma2,sigma3,f
-368.42105263157896,261.468172668517,3.8222710618675815,-444.9282624997913,-502.7733218383684,-157.56157355657712,-25.85948960457863
-263.1578947368422,276.9401686667943,3.4557519189487724,-414.4621763988533,-333.033034075753,-41.97847373592015,0.0
-894.7368421052631,170.959676870823,2.356194490192345,-1029.568488271645,-796.0332266433219,-858.6088114008221,4.979408064198696
-684.2105263157895,174.3651166317655,4.29350995990605,-669.3289635391318,-814.27064250087,-569.0319729073666,-11.129688295644616
894.7368421052631,223.38557601518824,5.183627878423159,1047.7049518590968,732.2229910262568,904.2825834304356,29.13724904545932
-473.68421052631584,225.27617437207556,1.308996938995747,-521.2906677544901,-296.0144933824146,-603.7474704420426,-39.75461900683686
157.8947368421052,170.959676870823,0.7853981633974483,194.02276754654616,256.5983523040462,23.063090675723146,4.979408064198696
-684.2105263157895,197.0922027317617,0.8377580409572781,-650.7523146717618,-564.6198637840663,-837.2594004915403,25.707678617186296
578.9473684210525,260.95012454670893,6.178465552059926,773.5918258255173,556.6760234695296,406.5742559681103,34.036972766962016
-52.63157894736844,161.6273749717225,0.7330382858376183,-11.851162724253555,35.672382102198064,-181.7159562200498,0.0
789.4736842105262,259.8958223247329,1.884955592153876,631.7753422657534,991.2917290568596,745.3539813089653,7.569781232759162
-473.68421052631584,204.12414523193155,2.094395102393196,-618.0217778237222,-329.34664322890933,-473.6842105263157,0.0
-578.9473684210527,160.60570984549142,2.5132741228718345,-709.3630155435592,-501.8687295255233,-525.6103601940756,4.677836209091953
-684.2105263157895,226.91315177974664,1.151917306316257,-703.5769132301568,-514.9544763988638,-834.1001893183478,0.0
-263.1578947368422,229.61669739369609,1.2566370614359172,-302.137438077056,-84.85263181435337,-402.483614319117,-22.709343698277653
-263.1578947368422,233.22709817344293,1.832595714594046,-397.8116226495947,-79.21748169374439,-312.4445798671874,-31.80369520546949
578.9473684210525,179.31705468185936,0.418879020478639,665.006042916061,638.498397023988,433.3376653231082,23.389181045459903
-578.9473684210527,155.9278736363994,4.817108735504349,-504.1137384253932,-705.5645015496998,-527.1638652880653,0.0
-157.89473684210532,265.0307933789124,1.308996938995747,-213.90233358113383,51.12845979777842,-310.9103367429605,0.0
-789.4736842105264,300.6240907736569,5.707226654021457,-544.351534350691,-923.1599878038602,-900.9095304770278,0.0
368.42105263157896,302.406141084343,3.665191429188092,244.96426250812203,244.96426250812212,615.3346328784926,0.0
789.4736842105262,252.32604109197376,3.979350694547071,746.639021199302,636.3684978563779,985.4135335758986,0.0
-157.89473684210532,322.0338435499144,5.864306286700947,103.60438509019684,-264.84187950167274,-312.44671611484006,26.589950384855275
1000.0,185.8714812174808,4.921828490624009,1101.5495552070013,851.5529661364163,1046.897478656582,24.24410624575835
-157.89473684210532,179.62924780409975,1.0471975511965976,-157.8947368421053,-30.877677620387654,-284.911796063823,-24.49489742783178
-263.1578947368422,156.02145267822678,2.8797932657906435,-386.20813492752086,-230.18668224929405,-173.07886703371148,-9.958816128397464
-894.7368421052631,166.24298839113814,0.8377580409572781,-866.5155679359527,-793.864718056766,-1023.8302403230704,-5.141535723437267
-368.42105263157896,177.8786932573343,4.34586983746588,-345.70092628383657,-504.0117949935049,-255.5504366173953,0.0
-52.63157894736844,215.0579497094517,3.193952531149623,-199.89716628481216,-61.82146306821596,103.8238925109228,0.0
-578.9473684210527,304.3072099600108,3.769911184307752,-680.0075124021116,-724.9918992934536,-331.8426935675929,8.863316794951714
473.6842105263156,154.0559586656087,4.71238898038469,536.5772922873218,347.8980470043029,536.5772922873218,0.0
894.7368421052631,215.0579497094518,2.042035224833365,747.4712547678193,1051.1923135635543,885.5469579844154,0.0
684.2105263157894,202.1893373708769,2.199114857512855,533.3961362713875,817.7686361191732,701.4668065568075,16.694532443466876
263.1578947368421,158.28766035702844,4.869468613064179,344.49210126514964,135.50773653117136,309.47384641420524,0.0
-473.68421052631584,241.1780219748104,3.9269908169872414,-524.6511235588318,-612.9284064360941,-283.47310158402144,-23.852771404102157
684.2105263157894,161.6273749717225,0.7330382858376183,724.9909425389043,772.5144873653559,555.126149043108,0.0
157.8947368421052,253.82228898826284,5.393067388662478,351.37464138656253,-3.164902126510327,125.47447126626332,14.367299376694085
-157.89473684210532,239.45498961156892,1.9373154697137056,-309.8377924728747,24.63347499228865,-188.4798930457299,0.0
-789.4736842105264,165.98026880662428,2.356194490192345,-920.378195051674,-693.6449313348554,-754.3979262450497,0.0
-894.7368421052631,288.8835647830145,5.497787143782138,-666.9015577677897,-1061.5238459971952,-955.7851225508042,23.85277140410208
157.8947368421052,182.79925725303397,3.193952531149623,32.718987605278016,150.08333533938475,290.88188758165273,-32.258692456417755
-1000.0,176.52605983801263,0.2094395102393195,-892.8883631237609,-970.033080005784,-1137.078556870455,5.1415357234372285
-473.68421052631584,330.89716034486605,5.654866776461628,-204.98786505459253,-632.4899139992176,-583.5748525251371,35.45326717980705
263.1578947368421,221.50968820073533,2.042035224833365,111.47433977927513,424.30703033888216,253.69231409236895,6.451738491283512
-52.63157894736844,170.93852773336144,4.241150082346221,-45.32701167245392,-176.9900041208688,64.42227895121741,-23.309799236367468
-52.63157894736844,237.1864786264553,3.979350694547071,-92.89616217791914,-196.5504541202678,131.55187945608162,-15.13956246551844
-684.2105263157895,287.3276622730955,5.602506898901797,-452.4968130465569,-831.8503825869867,-768.2843833138248,0.0
-684.2105263157895,165.98026880662425,2.8797932657906435,-815.1150371569371,-649.1347683503128,-588.3817734401185,0.0
-1000.0,150.81838122082635,0.8377580409572781,-974.3971945680482,-908.487145193116,-1117.1156602388353,-20.56614289374905
578.9473684210525,241.17802197481032,1.832595714594046,439.7031725112742,769.1584773633466,527.9804553885364,-23.852771404102143
-789.4736842105264,163.23542833612083,0.942477796076938,-775.5420084196127,-681.646953360088,-911.2320908518784,-22.259376591289204
-473.68421052631584,141.08322848563063,0.2617993877991494,-392.22977058199547,-443.8698162556606,-584.9530447412913,-24.897040320993646
684.2105263157894,252.32604109197376,6.073745796940266,880.1503756811618,641.3758633045652,531.1053399616411,0.0
473.6842105263156,146.0626365498293,4.974188368183839,558.0135130569059,358.48824098610567,504.5508775359351,-19.917632256794903
-578.9473684210527,295.9474921412883,3.508111796508602,-731.0164203803859,-665.5434411290291,-340.2822437537432,8.619829868192808
-789.4736842105264,139.29314111418506,2.4609142453120043,-901.8058234315166,-717.8995824656157,-748.7156467344468,-18.994519242843417
578.9473684210525,139.29314111418503,0.6806784082777885,619.705405897132,650.521470165963,466.6152292000621,-18.994519242843413
473.6842105263156,237.18647862645528,1.2566370614359172,433.41962729576494,657.8676689297655,329.76533535341616,-15.139562465518436
894.7368421052631,235.3991433667751,5.969026041820607,1082.739349956047,835.3429736671887,766.1282026925536,-41.54102530001914
473.6842105263156,190.87730912761785,4.974188368183839,583.887276333337,323.14402305899586,514.0213321866138,24.89704032099361
578.9473684210525,172.54233245961407,5.078908123303498,688.4318659548102,447.4243483299844,600.9858909783626,-5.336360797720028
52.631578947368325,304.3072099600108,5.864306286700947,299.73625380082814,-48.4285650336908,-93.4129519250324,8.863316794951714
