p,rho,theta,sigma1,sigma2,sigma3,I1,I2,I3,f
263.1578947368429,159.43663836862902,0.3141592653589793,350.26496250206765,303.38556331727034,135.82315839119047,789.4736842105285,195046.21185983723,14433293.149981814,-24.3663845508045
315.7894736842112,191.32396604235467,0.3141592653589793,420.31795500248086,364.0626759807241,162.98779006942846,947.3684210526335,280866.5450781652,24940730.56316852,-29.239661460965376
368.4210526315796,223.2112937160803,0.3141592653589793,490.3709475028942,424.739788644178,190.15242174766655,1105.2631578947387,382290.5752452802,39604956.403549984,-34.11293837112625
421.052631578948,255.0986213898061,0.3141592653589793,560.4239400033075,485.41690130763186,217.31705342590448,1263.157894736844,499318.302361182,59118768.74232527,-38.98621528128715
473.6842105263164,286.9859490635317,0.3141592653589793,630.4769325037207,546.0940139710857,244.48168510414257,1421.052631578949,631949.7264258708,84174965.65069357,-43.85949219144802
526.3157894736847,318.87327673725747,0.3141592653589793,700.529925004134,606.7711266345394,271.6463167823804,1578.9473684210539,780184.8474393459,115466345.19985382,-48.732769101608916
578.947368421053,350.7606044109831,0.3141592653589793,770.5829175045474,667.4482392979934,298.8109484606185,1736.8421052631593,944023.6654016087,153685705.46100545,-53.606046011769784
631.5789473684214,382.64793208470894,0.3141592653589793,840.6359100049606,728.1253519614472,325.9755801388563,1894.736842105264,1123466.1803126575,199525844.50534722,-58.47932292193069
684.2105263157898,414.5352597584344,0.3141592653589793,910.6889025053738,788.802464624901,353.14021181709444,2052.6315789473692,1318512.3921724937,253679560.40407857,-63.35259983209154
736.8421052631581,446.42258743216007,0.3141592653589793,980.741895005787,849.4795772883547,380.3048434953324,2210.526315789474,1529162.3009811162,316839651.2283984,-68.22587674225242
789.4736842105266,478.3099151058856,0.3141592653589793,1050.7948875062002,910.1566899518086,407.4694751735706,2368.421052631579,1755415.9067385264,389698915.0495061,-73.09915365241328
842.1052631578949,510.1972427796113,0.3141592653589793,1120.8478800066137,970.8338026152624,434.6341068518085,2526.3157894736846,1997273.209444723,472950149.9386005,-77.97243056257417
894.7368421052632,542.0845704533372,0.3141592653589793,1190.9008725070266,1031.5109152787163,461.7987385300463,2684.210526315789,2254734.2090997063,567286153.9668804,-82.84570747273507
947.3684210526316,573.9718981270629,0.3141592653589793,1260.95386500744,1092.18802794217,488.96337020828423,2842.1052631578946,2527798.905703476,673399725.2055457,-87.71898438289595
1000.0,605.8592258007884,0.3141592653589793,1331.0068575078533,1152.865140605624,516.1280018865225,3000.0,2816467.299256034,791983661.7257955,-92.59226129305681
1e-12,6.190090784084703e-13,0.418879020478639,1.2970777145694383e-12,1.2055723444665121e-12,4.973499409640493e-13,3e-12,2.8084138804239477e-24,7.777165576321463e-37,-9.46019271308698e-14
52.63157894736937,31.45269369216538,0.418879020478639,67.7265019219162,63.076989536031,27.091245384160885,157.89473684210807,7815.613337232931,115733.36283989846,-4.806852662623376
105.26315789473772,62.905387384330126,0.418879020478639,135.45300384383108,126.15397907206076,54.182490768321266,315.78947368421314,31262.45334893112,925866.902719161,-9.613705325246654
157.89473684210608,94.35808107649488,0.418879020478639,203.17950576574597,189.23096860809056,81.27373615248165,473.6842105263182,70340.52003509458,3124800.7966771396,-14.420557987869934
210.52631578947447,125.8107747686597,0.418879020478639,270.906007687661,252.3079581441204,108.36498153664203,631.5789473684234,125049.81339572338,7406935.221753189,-19.227410650493226
263.1578947368429,157.26346846082447,0.418879020478639,338.63250960957583,315.3849476801502,135.4562269208024,789.4736842105285,195390.33343081738,14466670.354986653,-24.034263313116508
315.7894736842112,188.71616215298926,0.418879020478639,406.35901153149075,378.46193721618,162.54747230496275,947.3684210526335,281362.0801403766,24998406.373416882,-28.84111597573979
368.4210526315796,220.1688558451541,0.418879020478639,474.0855134534057,441.5389267522099,189.63871768912313,1105.2631578947387,382965.0535244013,39696543.45408325,-33.64796863836309
421.052631578948,251.62154953731886,0.418879020478639,541.8120153753207,504.61591628823965,216.72996307328356,1263.157894736844,500199.25358289114,59255481.7740251,-38.454821300986374
473.6842105263164,283.07424322948356,0.418879020478639,609.5385172972356,567.6929058242695,243.82120845744402,1421.052631578949,633064.6803158463,84369621.51028179,-43.26167396360964
526.3157894736847,314.5269369216483,0.418879020478639,677.2650192191504,630.7698953602992,270.9124538416043,1578.9473684210539,781561.3337232665,115733362.83989257,-48.068526626232924
578.947368421053,345.9796306138133,0.418879020478639,744.9915211410655,693.8468848963291,298.0036992257646,1736.8421052631593,945689.2138051523,154041105.93989694,-52.87537928885623
